Fecha,Producto,Precio_Unitario,Cantidad,Venta_Total
2023-01-04 10:00:00,Producto A,84.56,7,591.9200000000001
2023-01-04 11:00:00,Producto D,27.78,2,55.56
2023-01-04 12:00:00,Producto C,23.52,1,23.52
2023-01-04 13:00:00,Producto C,52.97,1,52.97
2023-01-04 14:00:00,Producto B,78.03,6,468.18
2023-01-04 15:00:00,Producto A,10.88,19,206.72000000000003
2023-01-04 16:00:00,Producto D,59.8,7,418.59999999999997
2023-01-04 17:00:00,Producto B,16.32,5,81.6
2023-01-04 18:00:00,Producto D,8.46,18,152.28000000000003
2023-01-04 19:00:00,Producto D,10.01,13,130.13
2023-01-04 20:00:00,Producto B,84.25,1,84.25
2023-01-04 21:00:00,Producto B,16.21,10,162.10000000000002
2023-01-04 22:00:00,Producto B,9.29,9,83.60999999999999
2023-01-04 23:00:00,Producto B,46.6,17,792.2
2023-01-05 00:00:00,Producto B,85.18,1,85.18
2023-01-05 01:00:00,Producto D,29.93,1,29.93
2023-01-05 02:00:00,Producto B,45.06,7,315.42
2023-01-05 03:00:00,Producto A,8.79,4,35.16
2023-01-05 04:00:00,Producto C,47.66,12,571.92
2023-01-05 05:00:00,Producto B,59.87,16,957.92
2023-01-05 06:00:00,Producto B,59.24,14,829.36
2023-01-05 07:00:00,Producto D,36.58,10,365.79999999999995
2023-01-05 08:00:00,Producto B,34.98,14,489.71999999999997
2023-01-05 09:00:00,Producto B,15.13,7,105.91000000000001
2023-01-05 10:00:00,Producto B,39.85,4,159.4
2023-01-05 11:00:00,Producto D,14.45,2,28.9
2023-01-05 12:00:00,Producto B,77.83,18,1400.94
2023-01-05 13:00:00,Producto C,96.8,16,1548.8
2023-01-05 14:00:00,Producto D,97.16,9,874.4399999999999
2023-01-05 15:00:00,Producto C,87.18,5,435.90000000000003
2023-01-05 16:00:00,Producto D,62.08,9,558.72
2023-01-05 17:00:00,Producto B,71.58,8,572.64
2023-01-05 18:00:00,Producto C,32.09,16,513.44
2023-01-05 19:00:00,Producto D,64.92,18,1168.56
2023-01-05 20:00:00,Producto A,48.29,4,193.16
2023-01-05 21:00:00,Producto B,50.79,16,812.64
2023-01-05 22:00:00,Producto D,76.99,4,307.96
2023-01-05 23:00:00,Producto A,31.78,6,190.68
2023-01-06 00:00:00,Producto D,35.21,3,105.63
2023-01-06 01:00:00,Producto A,92.84,18,1671.1200000000001
2023-01-06 02:00:00,Producto B,10.34,15,155.1
2023-01-06 03:00:00,Producto C,51.14,8,409.12
2023-01-06 04:00:00,Producto A,91.72,18,1650.96
2023-01-06 05:00:00,Producto D,62.98,3,188.94
2023-01-06 06:00:00,Producto B,56.91,6,341.46
2023-01-06 07:00:00,Producto A,28.73,15,430.95
2023-01-06 08:00:00,Producto D,37.61,12,451.32
2023-01-06 09:00:00,Producto D,85.94,5,429.7
2023-01-06 10:00:00,Producto D,58.13,7,406.91
2023-01-06 11:00:00,Producto A,53.9,15,808.5
2023-01-06 12:00:00,Producto A,14.46,7,101.22
2023-01-06 13:00:00,Producto A,6.52,13,84.75999999999999
2023-01-06 14:00:00,Producto C,96.55,3,289.65
2023-01-06 15:00:00,Producto A,40.81,13,530.53
2023-01-06 16:00:00,Producto A,62.31,3,186.93
2023-01-06 17:00:00,Producto A,12.57,2,25.14
2023-01-06 18:00:00,Producto C,69.9,4,279.6
2023-01-06 19:00:00,Producto A,93.59,17,1591.03
2023-01-06 20:00:00,Producto D,59.69,6,358.14
2023-01-06 21:00:00,Producto A,16.98,11,186.78
2023-01-06 22:00:00,Producto D,60.26,6,361.56
2023-01-06 23:00:00,Producto D,77.8,2,155.6
2023-01-07 00:00:00,Producto D,43.61,17,741.37
2023-01-07 01:00:00,Producto C,88.58,3,265.74
2023-01-07 02:00:00,Producto C,66.62,12,799.44
2023-01-07 03:00:00,Producto C,90.43,14,1266.02
2023-01-07 04:00:00,Producto A,64.23,2,128.46
2023-01-07 05:00:00,Producto D,17.47,5,87.35
2023-01-07 06:00:00,Producto C,34.42,10,344.20000000000005
2023-01-07 07:00:00,Producto C,24.17,10,241.70000000000002
2023-01-07 08:00:00,Producto A,91.34,9,822.0600000000001
2023-01-07 09:00:00,Producto C,77.24,13,1004.1199999999999
2023-01-07 10:00:00,Producto A,69.26,10,692.6
2023-01-07 11:00:00,Producto B,33.59,6,201.54000000000002
2023-01-07 12:00:00,Producto C,22.48,11,247.28
2023-01-07 13:00:00,Producto B,76.86,4,307.44
2023-01-07 14:00:00,Producto A,50.05,14,700.6999999999999
2023-01-07 15:00:00,Producto D,26.45,17,449.65
2023-01-07 16:00:00,Producto C,63.58,2,127.16
2023-01-07 17:00:00,Producto A,8.83,10,88.3
2023-01-07 18:00:00,Producto D,35.99,3,107.97
2023-01-07 19:00:00,Producto D,49.51,7,346.57
2023-01-07 20:00:00,Producto B,19.06,7,133.42
2023-01-07 21:00:00,Producto A,98.54,1,98.54
2023-01-07 22:00:00,Producto D,24.86,8,198.88
2023-01-07 23:00:00,Producto C,17.38,1,17.38
2023-01-08 00:00:00,Producto C,24.34,8,194.72
2023-01-08 01:00:00,Producto B,78.06,14,1092.8400000000001
2023-01-08 02:00:00,Producto D,45.42,14,635.88
2023-01-08 03:00:00,Producto A,58.71,2,117.42
2023-01-08 04:00:00,Producto C,7.0,8,56.0
2023-01-08 05:00:00,Producto D,8.27,19,157.13
2023-01-08 06:00:00,Producto D,47.35,10,473.5
2023-01-08 07:00:00,Producto B,82.58,7,578.06
2023-01-08 08:00:00,Producto C,89.1,13,1158.3
2023-01-08 09:00:00,Producto C,13.24,15,198.6
2023-01-08 10:00:00,Producto A,56.14,11,617.54
2023-01-08 11:00:00,Producto C,91.76,14,1284.64
2023-01-08 12:00:00,Producto A,41.86,11,460.46
2023-01-08 13:00:00,Producto C,83.81,2,167.62
2023-01-08 14:00:00,Producto B,17.7,2,35.4
2023-01-08 15:00:00,Producto C,93.86,12,1126.32
2023-01-08 16:00:00,Producto A,76.39,15,1145.85
2023-01-08 17:00:00,Producto A,94.43,17,1605.3100000000002
2023-01-08 18:00:00,Producto B,69.28,14,969.9200000000001
2023-01-08 19:00:00,Producto C,39.52,16,632.32
2023-01-08 20:00:00,Producto C,94.13,8,753.04
2023-01-08 21:00:00,Producto B,31.18,17,530.06
2023-01-08 22:00:00,Producto C,36.56,5,182.8
2023-01-08 23:00:00,Producto C,71.58,12,858.96
2023-01-09 00:00:00,Producto A,77.71,6,466.26
2023-01-09 01:00:00,Producto C,93.29,18,1679.22
2023-01-09 02:00:00,Producto C,24.46,5,122.30000000000001
2023-01-09 03:00:00,Producto B,80.81,6,484.86
2023-01-09 04:00:00,Producto B,75.16,9,676.4399999999999
2023-01-09 05:00:00,Producto D,11.06,15,165.9
2023-01-09 06:00:00,Producto A,41.79,10,417.9
2023-01-09 07:00:00,Producto C,31.86,17,541.62
2023-01-09 08:00:00,Producto C,33.93,19,644.67
2023-01-09 09:00:00,Producto D,98.38,12,1180.56
2023-01-09 10:00:00,Producto C,66.06,9,594.54
2023-01-09 11:00:00,Producto A,73.18,15,1097.7
2023-01-09 12:00:00,Producto D,97.78,14,1368.92
2023-01-09 13:00:00,Producto A,40.83,1,40.83
2023-01-09 14:00:00,Producto D,81.17,17,1379.89
2023-01-09 15:00:00,Producto D,46.28,1,46.28
2023-01-09 16:00:00,Producto B,87.61,13,1138.93
2023-01-09 17:00:00,Producto A,22.16,8,177.28
2023-01-09 18:00:00,Producto C,95.03,13,1235.39
2023-01-09 19:00:00,Producto C,25.78,16,412.48
2023-01-09 20:00:00,Producto A,35.99,2,71.98
2023-01-09 21:00:00,Producto C,76.84,13,998.9200000000001
2023-01-09 22:00:00,Producto C,42.41,18,763.3799999999999
2023-01-09 23:00:00,Producto A,62.78,3,188.34
2023-01-10 00:00:00,Producto D,47.23,13,613.99
2023-01-10 01:00:00,Producto A,75.53,19,1435.07
2023-01-10 02:00:00,Producto D,26.69,13,346.97
2023-01-10 03:00:00,Producto C,10.55,19,200.45000000000002
2023-01-10 04:00:00,Producto C,33.49,4,133.96
2023-01-10 05:00:00,Producto C,50.06,19,951.1400000000001
2023-01-10 06:00:00,Producto B,20.96,18,377.28000000000003
2023-01-10 07:00:00,Producto D,38.71,6,232.26
2023-01-10 08:00:00,Producto B,43.0,19,817.0
2023-01-10 09:00:00,Producto B,10.45,4,41.8
2023-01-10 10:00:00,Producto A,60.41,4,241.64
2023-01-10 11:00:00,Producto B,89.01,7,623.07
2023-01-10 12:00:00,Producto A,19.42,7,135.94
2023-01-10 13:00:00,Producto A,61.79,16,988.64
2023-01-10 14:00:00,Producto B,68.15,16,1090.4
2023-01-10 15:00:00,Producto D,44.84,5,224.20000000000002
2023-01-10 16:00:00,Producto D,71.6,15,1074.0
2023-01-10 17:00:00,Producto D,44.02,4,176.08
2023-01-10 18:00:00,Producto D,52.94,13,688.22
2023-01-10 19:00:00,Producto D,5.7,19,108.3
2023-01-10 20:00:00,Producto B,70.71,7,494.96999999999997
2023-01-10 21:00:00,Producto B,67.83,12,813.96
2023-01-10 22:00:00,Producto C,8.65,9,77.85000000000001
2023-01-10 23:00:00,Producto D,39.98,17,679.66
2023-01-11 00:00:00,Producto B,98.01,2,196.02
2023-01-11 01:00:00,Producto C,44.97,16,719.52
2023-01-11 02:00:00,Producto D,52.68,7,368.76
2023-01-11 03:00:00,Producto A,91.44,18,1645.92
2023-01-11 04:00:00,Producto C,73.14,7,511.98
2023-01-11 05:00:00,Producto B,60.3,1,60.3
2023-01-11 06:00:00,Producto A,80.79,3,242.37
2023-01-11 07:00:00,Producto A,87.11,11,958.21
2023-01-11 08:00:00,Producto A,48.4,15,726.0
2023-01-11 09:00:00,Producto C,50.14,3,150.42000000000002
2023-01-11 10:00:00,Producto B,41.67,13,541.71
2023-01-11 11:00:00,Producto A,96.84,4,387.36
2023-01-11 12:00:00,Producto D,71.23,8,569.84
2023-01-11 13:00:00,Producto A,12.91,4,51.64
2023-01-11 14:00:00,Producto A,86.98,18,1565.64
2023-01-11 15:00:00,Producto C,50.65,7,354.55
2023-01-11 16:00:00,Producto C,11.53,11,126.83
2023-01-11 17:00:00,Producto B,57.22,4,228.88
2023-01-11 18:00:00,Producto D,44.63,13,580.19
2023-01-11 19:00:00,Producto C,88.39,9,795.51
2023-01-11 20:00:00,Producto A,24.38,9,219.42
2023-01-11 21:00:00,Producto B,83.51,19,1586.69
2023-01-11 22:00:00,Producto A,57.98,3,173.94
2023-01-11 23:00:00,Producto A,10.19,12,122.28
2023-01-12 00:00:00,Producto C,97.33,11,1070.6299999999999
2023-01-12 01:00:00,Producto B,53.7,11,590.7
2023-01-12 02:00:00,Producto D,32.63,17,554.71
2023-01-12 03:00:00,Producto D,49.59,14,694.26
2023-01-12 04:00:00,Producto C,86.5,16,1384.0
2023-01-12 05:00:00,Producto C,33.97,10,339.7
2023-01-12 06:00:00,Producto B,23.3,4,93.2
2023-01-12 07:00:00,Producto D,17.26,10,172.60000000000002
2023-01-12 08:00:00,Producto D,33.3,12,399.59999999999997
2023-01-12 09:00:00,Producto D,79.1,9,711.9
2023-01-12 10:00:00,Producto A,49.8,15,747.0
2023-01-12 11:00:00,Producto D,26.61,9,239.49
2023-01-12 12:00:00,Producto A,20.79,7,145.53
2023-01-12 13:00:00,Producto B,36.61,12,439.32
2023-01-12 14:00:00,Producto A,94.29,14,1320.0600000000002
2023-01-12 15:00:00,Producto B,37.59,16,601.44
2023-01-12 16:00:00,Producto D,98.87,19,1878.5300000000002
2023-01-12 17:00:00,Producto D,51.1,3,153.3
2023-01-12 18:00:00,Producto B,22.02,11,242.22
2023-01-12 19:00:00,Producto C,89.66,19,1703.54
2023-01-12 20:00:00,Producto B,48.73,8,389.84
2023-01-12 21:00:00,Producto C,72.42,8,579.36
2023-01-12 22:00:00,Producto A,98.45,3,295.35
2023-01-12 23:00:00,Producto A,9.77,10,97.69999999999999
2023-01-13 00:00:00,Producto A,14.19,13,184.47
2023-01-13 01:00:00,Producto D,73.44,9,660.96
2023-01-13 02:00:00,Producto A,31.77,6,190.62
2023-01-13 03:00:00,Producto C,22.51,15,337.65000000000003
2023-01-13 04:00:00,Producto A,8.74,16,139.84
2023-01-13 05:00:00,Producto B,7.08,5,35.4
2023-01-13 06:00:00,Producto B,78.58,13,1021.54
2023-01-13 07:00:00,Producto D,17.77,19,337.63
2023-01-13 08:00:00,Producto B,49.43,2,98.86
2023-01-13 09:00:00,Producto C,62.56,6,375.36
2023-01-13 10:00:00,Producto A,45.69,1,45.69
2023-01-13 11:00:00,Producto D,7.58,15,113.7
2023-01-13 12:00:00,Producto A,79.43,15,1191.45
2023-01-13 13:00:00,Producto A,6.0,14,84.0
2023-01-13 14:00:00,Producto C,77.38,7,541.66
2023-01-13 15:00:00,Producto B,89.86,5,449.3
2023-01-13 16:00:00,Producto B,46.12,16,737.92
2023-01-13 17:00:00,Producto A,55.88,17,949.96
2023-01-13 18:00:00,Producto D,50.31,11,553.4100000000001
2023-01-13 19:00:00,Producto B,41.97,15,629.55
2023-01-13 20:00:00,Producto D,89.31,16,1428.96
2023-01-13 21:00:00,Producto B,89.92,3,269.76
2023-01-13 22:00:00,Producto D,36.9,6,221.39999999999998
2023-01-13 23:00:00,Producto C,63.43,13,824.59
2023-01-14 00:00:00,Producto D,93.06,1,93.06
2023-01-14 01:00:00,Producto C,96.4,14,1349.6000000000001
2023-01-14 02:00:00,Producto C,53.35,2,106.7
2023-01-14 03:00:00,Producto D,48.02,2,96.04
2023-01-14 04:00:00,Producto C,31.48,15,472.2
2023-01-14 05:00:00,Producto A,96.09,18,1729.6200000000001
2023-01-14 06:00:00,Producto C,18.57,9,167.13
2023-01-14 07:00:00,Producto B,60.08,3,180.24
2023-01-14 08:00:00,Producto D,31.84,4,127.36
2023-01-14 09:00:00,Producto A,31.51,15,472.65000000000003
2023-01-14 10:00:00,Producto D,43.47,5,217.35
2023-01-14 11:00:00,Producto B,99.89,5,499.45
2023-01-14 12:00:00,Producto B,10.22,10,102.2
2023-01-14 13:00:00,Producto B,59.96,16,959.36
2023-01-14 14:00:00,Producto C,12.84,12,154.07999999999998
2023-01-14 15:00:00,Producto C,19.68,14,275.52
2023-01-14 16:00:00,Producto D,46.76,11,514.36
2023-01-14 17:00:00,Producto D,53.49,19,1016.3100000000001
2023-01-14 18:00:00,Producto A,29.59,6,177.54
2023-01-14 19:00:00,Producto A,35.06,10,350.6
2023-01-14 20:00:00,Producto D,13.26,3,39.78
2023-01-14 21:00:00,Producto C,33.81,15,507.15000000000003
2023-01-14 22:00:00,Producto B,96.82,11,1065.02
2023-01-14 23:00:00,Producto D,94.75,2,189.5
2023-01-15 00:00:00,Producto A,36.81,6,220.86
2023-01-15 01:00:00,Producto C,59.23,17,1006.91
2023-01-15 02:00:00,Producto D,91.41,18,1645.3799999999999
2023-01-15 03:00:00,Producto D,5.59,4,22.36
2023-01-15 04:00:00,Producto C,82.01,9,738.09
2023-01-15 05:00:00,Producto D,95.1,10,951.0
2023-01-15 06:00:00,Producto C,13.68,2,27.36
2023-01-15 07:00:00,Producto B,20.34,11,223.74
2023-01-15 08:00:00,Producto C,96.27,11,1058.97
2023-01-15 09:00:00,Producto C,56.07,11,616.77
2023-01-15 10:00:00,Producto C,6.35,1,6.35
2023-01-15 11:00:00,Producto D,29.48,14,412.72
2023-01-15 12:00:00,Producto D,47.74,1,47.74
2023-01-15 13:00:00,Producto C,70.83,9,637.47
2023-01-15 14:00:00,Producto D,74.65,1,74.65
2023-01-15 15:00:00,Producto A,99.57,4,398.28
2023-01-15 16:00:00,Producto A,32.31,1,32.31
2023-01-15 17:00:00,Producto D,56.13,19,1066.47
2023-01-15 18:00:00,Producto D,55.67,10,556.7
2023-01-15 19:00:00,Producto C,43.54,15,653.1
2023-01-15 20:00:00,Producto B,21.07,4,84.28
2023-01-15 21:00:00,Producto D,97.86,14,1370.04
2023-01-15 22:00:00,Producto A,86.07,5,430.34999999999997
2023-01-15 23:00:00,Producto C,52.34,15,785.1
2023-01-16 00:00:00,Producto D,62.31,15,934.6500000000001
2023-01-16 01:00:00,Producto A,26.59,16,425.44
2023-01-16 02:00:00,Producto A,56.66,16,906.56
2023-01-16 03:00:00,Producto B,71.02,4,284.08
2023-01-16 04:00:00,Producto C,53.94,9,485.46
2023-01-16 05:00:00,Producto C,99.08,1,99.08
2023-01-16 06:00:00,Producto B,63.08,5,315.4
2023-01-16 07:00:00,Producto B,40.24,9,362.16
2023-01-16 08:00:00,Producto C,78.35,5,391.75
2023-01-16 09:00:00,Producto C,21.19,4,84.76
2023-01-16 10:00:00,Producto D,41.53,16,664.48
2023-01-16 11:00:00,Producto D,37.96,2,75.92
2023-01-16 12:00:00,Producto B,46.02,16,736.32
2023-01-16 13:00:00,Producto D,79.27,18,1426.86
2023-01-16 14:00:00,Producto A,51.0,2,102.0
2023-01-16 15:00:00,Producto D,80.43,16,1286.88
2023-01-16 16:00:00,Producto D,59.77,1,59.77
2023-01-16 17:00:00,Producto A,37.5,16,600.0
2023-01-16 18:00:00,Producto B,81.95,3,245.85000000000002
2023-01-16 19:00:00,Producto A,27.64,15,414.6
2023-01-16 20:00:00,Producto D,26.32,11,289.52
2023-01-16 21:00:00,Producto B,52.93,10,529.3
2023-01-16 22:00:00,Producto D,29.78,17,506.26
2023-01-16 23:00:00,Producto A,5.86,4,23.44
2023-01-17 00:00:00,Producto A,66.59,17,1132.03
2023-01-17 01:00:00,Producto D,53.55,4,214.2
2023-01-17 02:00:00,Producto C,47.32,19,899.08
2023-01-17 03:00:00,Producto C,96.86,1,96.86
2023-01-17 04:00:00,Producto A,59.26,14,829.64
2023-01-17 05:00:00,Producto A,87.03,11,957.33
2023-01-17 06:00:00,Producto C,18.25,7,127.75
2023-01-17 07:00:00,Producto C,59.07,17,1004.19
2023-01-17 08:00:00,Producto D,87.46,4,349.84
2023-01-17 09:00:00,Producto D,60.4,10,604.0
2023-01-17 10:00:00,Producto C,73.21,17,1244.57
2023-01-17 11:00:00,Producto D,40.34,4,161.36
2023-01-17 12:00:00,Producto D,13.78,19,261.82
2023-01-17 13:00:00,Producto B,48.5,18,873.0
2023-01-17 14:00:00,Producto D,42.48,17,722.16
2023-01-17 15:00:00,Producto A,87.37,6,524.22
2023-01-17 16:00:00,Producto D,28.18,7,197.26
2023-01-17 17:00:00,Producto D,96.84,6,581.04
2023-01-17 18:00:00,Producto C,96.02,12,1152.24
2023-01-17 19:00:00,Producto A,28.53,9,256.77
2023-01-17 20:00:00,Producto D,38.06,18,685.08
2023-01-17 21:00:00,Producto D,90.08,2,180.16
2023-01-17 22:00:00,Producto B,96.83,17,1646.11
2023-01-17 23:00:00,Producto D,47.13,1,47.13
2023-01-18 00:00:00,Producto D,35.49,9,319.41
2023-01-18 01:00:00,Producto B,54.98,6,329.88
2023-01-18 02:00:00,Producto C,70.34,2,140.68
2023-01-18 03:00:00,Producto D,30.98,6,185.88
2023-01-18 04:00:00,Producto B,74.96,9,674.64
2023-01-18 05:00:00,Producto A,9.91,3,29.73
2023-01-18 06:00:00,Producto C,9.68,16,154.88
2023-01-18 07:00:00,Producto A,41.7,15,625.5
2023-01-18 08:00:00,Producto A,38.58,12,462.96
2023-01-18 09:00:00,Producto B,34.99,8,279.92
2023-01-18 10:00:00,Producto D,51.65,6,309.9
2023-01-18 11:00:00,Producto B,35.47,3,106.41
2023-01-18 12:00:00,Producto B,23.26,4,93.04
2023-01-18 13:00:00,Producto B,34.4,10,344.0
2023-01-18 14:00:00,Producto B,97.62,14,1366.68
2023-01-18 15:00:00,Producto C,44.06,15,660.9000000000001
2023-01-18 16:00:00,Producto D,47.25,7,330.75
2023-01-18 17:00:00,Producto A,59.77,7,418.39000000000004
2023-01-18 18:00:00,Producto A,98.42,8,787.36
2023-01-18 19:00:00,Producto D,27.95,10,279.5
2023-01-18 20:00:00,Producto A,69.72,19,1324.68
2023-01-18 21:00:00,Producto D,73.02,19,1387.3799999999999
2023-01-18 22:00:00,Producto A,62.7,2,125.4
2023-01-18 23:00:00,Producto B,13.41,15,201.15
2023-01-19 00:00:00,Producto A,69.3,1,69.3
2023-01-19 01:00:00,Producto D,11.09,10,110.9
2023-01-19 02:00:00,Producto D,61.63,6,369.78000000000003
2023-01-19 03:00:00,Producto D,75.26,13,978.3800000000001
2023-01-19 04:00:00,Producto D,25.04,10,250.39999999999998
2023-01-19 05:00:00,Producto D,84.95,12,1019.4000000000001
2023-01-19 06:00:00,Producto C,7.88,6,47.28
2023-01-19 07:00:00,Producto C,85.16,6,510.96
2023-01-19 08:00:00,Producto A,48.73,1,48.73
2023-01-19 09:00:00,Producto D,25.67,12,308.04
2023-01-19 10:00:00,Producto A,17.71,10,177.10000000000002
2023-01-19 11:00:00,Producto D,95.56,14,1337.8400000000001
2023-01-19 12:00:00,Producto D,11.9,15,178.5
2023-01-19 13:00:00,Producto C,23.91,4,95.64
2023-01-19 14:00:00,Producto C,38.04,1,38.04
2023-01-19 15:00:00,Producto B,63.92,8,511.36
2023-01-19 16:00:00,Producto C,56.76,3,170.28
2023-01-19 17:00:00,Producto B,16.94,14,237.16000000000003
2023-01-19 18:00:00,Producto B,32.52,17,552.84
2023-01-19 19:00:00,Producto B,27.68,2,55.36
2023-01-19 20:00:00,Producto B,25.29,15,379.34999999999997
2023-01-19 21:00:00,Producto B,44.06,6,264.36
2023-01-19 22:00:00,Producto A,71.88,5,359.4
2023-01-19 23:00:00,Producto C,25.66,14,359.24
2023-01-20 00:00:00,Producto B,39.83,19,756.77
2023-01-20 01:00:00,Producto D,42.14,9,379.26
2023-01-20 02:00:00,Producto C,97.76,8,782.08
2023-01-20 03:00:00,Producto C,95.69,3,287.07
2023-01-20 04:00:00,Producto B,81.01,18,1458.18
2023-01-20 05:00:00,Producto A,27.96,8,223.68
2023-01-20 06:00:00,Producto B,11.46,16,183.36
2023-01-20 07:00:00,Producto A,35.11,15,526.65
2023-01-20 08:00:00,Producto D,30.35,15,455.25
2023-01-20 09:00:00,Producto C,53.06,16,848.96
2023-01-20 10:00:00,Producto D,78.88,1,78.88
2023-01-20 11:00:00,Producto A,86.54,10,865.4000000000001
2023-01-20 12:00:00,Producto A,85.26,19,1619.94
2023-01-20 13:00:00,Producto D,39.17,5,195.85000000000002
2023-01-20 14:00:00,Producto A,70.29,18,1265.22
2023-01-20 15:00:00,Producto D,34.72,3,104.16
2023-01-20 16:00:00,Producto C,10.79,4,43.16
2023-01-20 17:00:00,Producto D,71.65,4,286.6
2023-01-20 18:00:00,Producto C,5.93,11,65.22999999999999
2023-01-20 19:00:00,Producto D,43.87,9,394.83
2023-01-20 20:00:00,Producto A,36.29,1,36.29
2023-01-20 21:00:00,Producto D,70.87,16,1133.92
2023-01-20 22:00:00,Producto A,77.79,9,700.11
2023-01-20 23:00:00,Producto D,33.89,11,372.79
2023-01-21 00:00:00,Producto D,82.1,6,492.59999999999997
2023-01-21 01:00:00,Producto B,32.92,17,559.64
